filename	width	height	bytes	source_page	commons_file	author	license	license_url	date_accessed
rockport-harbor.webp	1800	1012	369466	https://commons.wikimedia.org/wiki/File:Rockport_Harbour,_Massachusetts_(493894)_(11689924434).jpg	File:Rockport Harbour, Massachusetts (493894) (11689924434).jpg	Robert Linsdell from St. Andrews, Canada	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	2026-07-19
gloucester-whale-watch.webp	1600	907	194714	https://commons.wikimedia.org/wiki/File:Humpback_stellwagen.JPG	File:Humpback stellwagen.JPG	Whit Welles	CC BY 3.0	https://creativecommons.org/licenses/by/3.0	2026-07-19
gloucester-harbor.webp	1600	1200	272396	https://commons.wikimedia.org/wiki/File:2012_harbor_Gloucester_Massachusetts_USA_8395070362.jpg	File:2012 harbor Gloucester Massachusetts USA 8395070362.jpg	Doug Kerr from Albany, NY, United States	CC BY-SA 2.0	https://creativecommons.org/licenses/by-sa/2.0	2026-07-19
fishermens-memorial.webp	1200	1978	613476	https://commons.wikimedia.org/wiki/File:Gloucester_Fisherman_Statue_and_Memorial_9-17-25.jpg	File:Gloucester Fisherman Statue and Memorial 9-17-25.jpg	Qwerty123uiop	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	2026-07-19
eastern-point-lighthouse.webp	1600	900	63920	https://commons.wikimedia.org/wiki/File:Eastern_Point_Lighthouse,_Gloucester_(493873)_(11682997536).jpg	File:Eastern Point Lighthouse, Gloucester (493873) (11682997536).jpg	Robert Linsdell from St. Andrews, Canada	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	2026-07-19
beauport.webp	1600	1200	332194	https://commons.wikimedia.org/wiki/File:Beauport_Gloucester.jpg	File:Beauport Gloucester.jpg	Ymblanter	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	2026-07-19
hammond-castle.webp	1600	1071	335174	https://commons.wikimedia.org/wiki/File:Hammond_castle_back.jpg	File:Hammond castle back.jpg	Dale E. Martin	CC BY 3.0	https://creativecommons.org/licenses/by/3.0	2026-07-19
motif-number-one.webp	1600	1067	266776	https://commons.wikimedia.org/wiki/File:Motif_Number_1,_Rockport_MA.jpg	File:Motif Number 1, Rockport MA.jpg	John Phelan	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	2026-07-19
halibut-point.webp	1600	1175	114564	https://commons.wikimedia.org/wiki/File:Halibut_Point_Quarry.jpg	File:Halibut Point Quarry.jpg	Ymblanter	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	2026-07-19
halibut-point-coast.webp	1400	933	48256	https://commons.wikimedia.org/wiki/File:Folly_Cove_from_Halibut_Point_State_Park,_Rockport_MA.jpg	File:Folly Cove from Halibut Point State Park, Rockport MA.jpg	John Phelan	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	2026-07-19
crane-beach.webp	1600	1200	278878	https://commons.wikimedia.org/wiki/File:White_Sand_Coastal_Dunes_Crane_Beach_Ipswich_Massachusetts.jpg	File:White Sand Coastal Dunes Crane Beach Ipswich Massachusetts.jpg	EgorovaSvetlana	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	2026-07-19
castle-hill.webp	1600	1067	627512	https://commons.wikimedia.org/wiki/File:The_Crane_Estate_at_Castle_Hill_in_Ipswich,_Massachusetts.jpg	File:The Crane Estate at Castle Hill in Ipswich, Massachusetts.jpg	Jay Burnham	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	2026-07-19
salem-historic.webp	1600	1097	540602	https://commons.wikimedia.org/wiki/File:House_of_the_Seven_Gables_MA1.jpg	File:House of the Seven Gables MA1.jpg	Acroterion	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	2026-07-19
salem-witch-house.webp	1600	1200	632486	https://commons.wikimedia.org/wiki/File:Jonathan_Corwin_House_(The_Witch_House),_Essex_Street_and_North_Street,_Salem,_MA.jpg	File:Jonathan Corwin House (The Witch House), Essex Street and North Street, Salem, MA.jpg	w_lemay	CC BY-SA 2.0	https://creativecommons.org/licenses/by-sa/2.0	2026-07-19
salem-halloween.webp	1600	1200	294272	https://commons.wikimedia.org/wiki/File:Halloween_in_Salem_-_Three_Witches.jpg	File:Halloween in Salem - Three Witches.jpg	Michelle Callahan	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	2026-07-19
newburyport.webp	1400	1050	426562	https://commons.wikimedia.org/wiki/File:Market_Square,_Newburyport,_September_2021.jpg	File:Market Square, Newburyport, September 2021.jpg	Fletcher	CC BY 4.0	https://creativecommons.org/licenses/by/4.0	2026-07-19
marblehead.webp	1800	853	329510	https://commons.wikimedia.org/wiki/File:Marblehead_Harbor_Panorama.jpg	File:Marblehead Harbor Panorama.jpg	Fletcher	CC BY 4.0	https://creativecommons.org/licenses/by/4.0	2026-07-19
singing-beach.webp	1400	933	123338	https://commons.wikimedia.org/wiki/File:Singing_Beach,_Manchester,_May_2014.JPG	File:Singing Beach, Manchester, May 2014.JPG	Pi.1415926535	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	2026-07-19
minute-man.webp	1400	1030	313518	https://commons.wikimedia.org/wiki/File:Old_North_Bridge,_Concord,_Massachusetts,_July_2005.JPG	File:Old North Bridge, Concord, Massachusetts, July 2005.JPG	Daderot at en.wikipedia	CC BY-SA 3.0	http://creativecommons.org/licenses/by-sa/3.0/	2026-07-19
portsmouth-nh.webp	1400	887	185856	https://commons.wikimedia.org/wiki/File:Market_Square_7.JPG	File:Market Square 7.JPG	AlexiusHoratius	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	2026-07-19
boston-harbor-islands.webp	1400	798	117424	https://commons.wikimedia.org/wiki/File:Georges_Island_and_Fort_Warren_in_Boston_Harbor.jpg	File:Georges Island and Fort Warren in Boston Harbor.jpg	Doc Searls from Santa Barbara, USA	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	2026-07-19
